MutantNo,[FAIL | TIME | EXC | LIVE]
1,LIVE
2,LIVE
3,LIVE
4,LIVE
5,FAIL
6,FAIL
7,FAIL
8,FAIL
9,LIVE
10,LIVE
11,EXC
12,LIVE
13,LIVE
14,LIVE
15,EXC
16,LIVE
17,LIVE
18,LIVE
19,EXC
20,LIVE
21,FAIL
22,FAIL
23,EXC
24,FAIL
25,LIVE
26,LIVE
27,EXC
28,LIVE
29,LIVE
30,LIVE
31,EXC
32,LIVE
33,LIVE
34,LIVE
35,EXC
36,LIVE
37,FAIL
38,FAIL
39,EXC
40,FAIL
41,LIVE
42,LIVE
43,EXC
44,LIVE
45,LIVE
46,LIVE
47,EXC
48,LIVE
49,FAIL
50,FAIL
51,LIVE
52,LIVE
53,FAIL
54,EXC
55,LIVE
56,FAIL
57,LIVE
58,FAIL
59,LIVE
60,LIVE
61,FAIL
62,FAIL
63,FAIL
64,FAIL
65,LIVE
66,EXC
67,LIVE
68,FAIL
69,FAIL
70,FAIL
148,EXC
149,LIVE
150,LIVE
153,EXC
154,LIVE
155,LIVE
156,EXC
157,LIVE
158,FAIL
159,EXC
160,LIVE
161,LIVE
162,FAIL
163,LIVE
164,EXC
165,EXC
166,LIVE
167,LIVE
168,LIVE
169,LIVE
170,LIVE
171,LIVE
172,LIVE
173,LIVE
174,FAIL
175,FAIL
176,FAIL
177,EXC
178,LIVE
179,FAIL
180,FAIL
181,FAIL
182,FAIL
183,FAIL
184,EXC
185,LIVE
186,LIVE
187,EXC
188,LIVE
189,LIVE
190,LIVE
191,LIVE
192,LIVE
193,EXC
194,FAIL
195,LIVE
196,LIVE
197,EXC
198,EXC
199,LIVE
200,EXC
201,FAIL
202,EXC
203,LIVE
204,LIVE
205,EXC
206,LIVE
207,FAIL
208,LIVE
209,FAIL
210,LIVE
211,EXC
212,LIVE
213,LIVE
214,LIVE
215,LIVE
216,LIVE
217,LIVE
218,LIVE
219,LIVE
220,LIVE
221,LIVE
222,LIVE
223,LIVE
224,LIVE
225,LIVE
226,LIVE
227,LIVE
228,LIVE
229,LIVE
230,LIVE
231,LIVE
232,LIVE
233,LIVE
234,LIVE
